"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE02120300000000202051";"25.08.2023";"25.08.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB890123";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.08.2023";"28.08.2023";"UEBERWEISUNG";"Kleidung";"";"";"CLOTHES20230827";"";"";"";"Zalando";"DE02500105170123456789";"INGDDEFFXXX";"-98,60";"EUR";"Bekleidung"
"DE02120300000000202051";"01.09.2023";"01.09.2023";"GUTSCHRIFT";"Gehalt August";"";"";"SALARY2023-08";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.09.2023";"02.09.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV90123456";"";"93,30";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-93,30";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.09.2023";"03.09.2023";"LASTSCHRIFT";"Miete September";"DE33ZZZ00088888888";"MREF20220101";"RENT202309";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.09.2023";"05.09.2023";"UEBERWEISUNG";"Elektronik";"";"";"ELECTRO20230904";"";"";"";"Saturn Online";"DE02500105170123456789";"INGDDEFFXXX";"-159,99";"EUR";"Technik"
"DE02120300000000202051";"08.09.2023";"08.09.2023";"GUTSCHRIFT";"Verkauf eBay";"";"";"EBAY20230907";"";"";"";"eBay Käufer";"DE02500105170123456789";"INGDDEFFXXX";"55,00";"EUR";"Private Veräußerung"
"DE02120300000000202051";"10.09.2023";"10.09.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202309";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.09.2023";"12.09.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230911";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-82,45";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.09.2023";"15.09.2023";"UEBERWEISUNG";"Restaurant";"";"";"DINNER20230914";"";"";"";"Griechisches Restaurant";"DE02500105170123456789";"INGDDEFFXXX";"-58,30";"EUR";"Abendessen"
"DE02120300000000202051";"18.09.2023";"18.09.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY90123";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.09.2023";"20.09.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF901234567";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.09.2023";"22.09.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230921";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-63,80";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.09.2023";"25.09.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB901234";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.09.2023";"28.09.2023";"UEBERWEISUNG";"Apotheke";"";"";"PHARM20230927";"";"";"";"Apotheke am Markt";"DE02500105170123456789";"INGDDEFFXXX";"-17,40";"EUR";"Medikamente"
"DE02120300000000202051";"01.10.2023";"01.10.2023";"GUTSCHRIFT";"Gehalt September";"";"";"SALARY2023-09";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.10.2023";"02.10.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV01234567";"";"94,15";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-94,15";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.10.2023";"03.10.2023";"LASTSCHRIFT";"Miete Oktober";"DE33ZZZ00088888888";"MREF20220101";"RENT202310";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.10.2023";"05.10.2023";"UEBERWEISUNG";"Möbelhaus";"";"";"FURNITURE20231004";"";"";"";"IKEA Deutschland";"DE02500105170123456789";"INGDDEFFXXX";"-169,90";"EUR";"Haushaltswaren"
"DE02120300000000202051";"08.10.2023";"08.10.2023";"GUTSCHRIFT";"Bonus";"";"";"BONUS20231007";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"350,00";"EUR";"Projektbonus"
"DE02120300000000202051";"10.10.2023";"10.10.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202310";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.10.2023";"12.10.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20231011";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-81,75";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.10.2023";"15.10.2023";"UEBERWEISUNG";"Kino";"";"";"CINEMA20231014";"";"";"";"CinemaxX Musterstadt";"DE02500105170123456789";"INGDDEFFXXX";"-24,50";"EUR";"Freizeit"
"DE02120300000000202051";"18.10.2023";"18.10.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY01234";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.10.2023";"20.10.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF012345678";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.10.2023";"22.10.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20231021";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-65,60";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.10.2023";"25.10.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB012345";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.10.2023";"28.10.2023";"UEBERWEISUNG";"Kleidung";"";"";"CLOTHES20231027";"";"";"";"H&M Online";"DE02500105170123456789";"INGDDEFFXXX";"-89,95";"EUR";"Bekleidung"
"DE02120300000000202051";"01.11.2023";"01.11.2023";"GUTSCHRIFT";"Gehalt Oktober";"";"";"SALARY2023-10";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.11.2023";"02.11.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV12345678";"";"95,00";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-95,00";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.11.2023";"03.11.2023";"LASTSCHRIFT";"Miete November";"DE33ZZZ00088888888";"MREF20220101";"RENT202311";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.11.2023";"05.11.2023";"UEBERWEISUNG";"Elektronik";"";"";"ELECTRO20231104";"";"";"";"MediaMarkt Online";"DE02500105170123456789";"INGDDEFFXXX";"-229,99";"EUR";"Technik"
"DE02120300000000202051";"08.11.2023";"08.11.2023";"GUTSCHRIFT";"Verkauf eBay";"";"";"EBAY20231107";"";"";"";"eBay Käufer";"DE02500105170123456789";"INGDDEFFXXX";"75,00";"EUR";"Private Veräußerung"
"DE02120300000000202051";"10.11.2023";"10.11.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202311";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.11.2023";"12.11.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20231111";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-83,20";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.11.2023";"15.11.2023";"UEBERWEISUNG";"Restaurant";"";"";"DINNER20231114";"";"";"";"Italienisches Restaurant";"DE02500105170123456789";"INGDDEFFXXX";"-67,80";"EUR";"Abendessen"
"DE02120300000000202051";"18.11.2023";"18.11.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY12345";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.11.2023";"20.11.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF123456789";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.11.2023";"22.11.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20231121";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-66,40";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.11.2023";"25.11.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB123456";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.11.2023";"28.11.2023";"UEBERWEISUNG";"Apotheke";"";"";"PHARM20231127";"";"";"";"Apotheke am Markt";"DE02500105170123456789";"INGDDEFFXXX";"-22,70";"EUR";"Medikamente"
"DE02120300000000202051";"01.12.2023";"01.12.2023";"GUTSCHRIFT";"Gehalt November";"";"";"SALARY2023-11";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.12.2023";"02.12.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV23456789";"";"96,85";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-96,85";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.12.2023";"03.12.2023";"LASTSCHRIFT";"Miete Dezember";"DE33ZZZ00088888888";"MREF20220101";"RENT202312";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.12.2023";"05.12.2023";"UEBERWEISUNG";"Weihnachtsgeschenke";"";"";"XMAS20231204";"";"";"";"Amazon EU SARL";"GB29NWBK60161331926819";"NWBKGB2LXXX";"-249,99";"EUR";"Geschenke"
"DE02120300000000202051";"08.12.2023";"08.12.2023";"GUTSCHRIFT";"Weihnachtsgeld";"";"";"XMASBONUS2023";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"1000,00";"EUR";"Sonderzahlung"
"DE02120300000000202051";"10.12.2023";"10.12.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202312";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.12.2023";"12.12.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20231211";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-112,45";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.12.2023";"15.12.2023";"UEBERWEISUNG";"Weihnachtsfeier";"";"";"XMASPARTY2023";"";"";"";"Restaurant Goldener Stern";"DE02500105170123456789";"INGDDEFFXXX";"-89,90";"EUR";"Firmenfeier"
"DE02120300000000202051";"18.12.2023";"18.12.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY23456";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.12.2023";"20.12.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF234567890";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.12.2023";"22.12.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20231221";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-68,20";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.12.2023";"25.12.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB234567";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.12.2023";"28.12.2023";"UEBERWEISUNG";"Silvesterparty";"";"";"NYE20231227";"";"";"";"Getränkemarkt";"DE02500105170123456789";"INGDDEFFXXX";"-45,80";"EUR";"Feier"
"DE02120300000000202051";"31.12.2023";"31.12.2023";"GUTSCHRIFT";"Zinsen";"";"";"INTEREST2023";"";"";"";"Musterbank AG";"DE02120300000000202051";"BYLADEM1001";"12,45";"EUR";"Habenzinsen"
"DE02120300000000202051";"01.01.2023";"01.01.2023";"GUTSCHRIFT";"Gehalt Dezember";"";"";"SALARY2022-12";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehalt"
"DE02120300000000202051";"02.01.2023";"02.01.2023";"LASTSCHRIFT";"Stromrechnung Dezember";"DE98ZZZ00099999999";"MREF20221115";"INV12345678";"";"85,30";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-85,30";"EUR";"Stromabschlag"
"DE02120300000000202051";"03.01.2023";"03.01.2023";"LASTSCHRIFT";"Miete Januar";"DE33ZZZ00088888888";"MREF20220101";"RENT202301";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.01.2023";"05.01.2023";"UEBERWEISUNG";"Amazon Einkauf";"";"";"AMZN202301041235";"";"";"";"Amazon EU SARL";"GB29NWBK60161331926819";"NWBKGB2LXXX";"-49,99";"EUR";"Online-Einkauf"
"DE02120300000000202051";"06.01.2023";"06.01.2023";"GUTSCHRIFT";"Rückerstattung";"";"";"REFUND20221215";"";"";"";"Telekom Deutschland";"DE52200700000012345678";"DEUTDEDBXXX";"24,95";"EUR";"Guthaben"
"DE02120300000000202051";"10.01.2023";"10.01.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202301";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"15.01.2023";"15.01.2023";"GUTSCHRIFT";"Überweisung von Mustermann";"";"";"TRANSFER0123";"";"";"";"Max Mustermann";"DE12500105170648489890";"INGDDEFFXXX";"150,00";"EUR";"Privatüberweisung"
"DE02120300000000202051";"20.01.2023";"20.01.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF123456789";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"25.01.2023";"25.01.2023";"UEBERWEISUNG";"Supermarkt Einkauf";"";"";"GROCERY20230124";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-87,45";"EUR";"Lebensmittel"
"DE02120300000000202051";"28.01.2023";"28.01.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220128";"MOB123456";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"01.02.2023";"01.02.2023";"GUTSCHRIFT";"Gehalt Januar";"";"";"SALARY2023-01";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehalt"
"DE02120300000000202051";"02.02.2023";"02.02.2023";"LASTSCHRIFT";"Stromrechnung Januar";"DE98ZZZ00099999999";"MREF20221115";"INV23456789";"";"86,75";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-86,75";"EUR";"Stromabschlag"
"DE02120300000000202051";"03.02.2023";"03.02.2023";"LASTSCHRIFT";"Miete Februar";"DE33ZZZ00088888888";"MREF20220101";"RENT202302";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.02.2023";"05.02.2023";"UEBERWEISUNG";"Buchhandlung";"";"";"BOOK20230204";"";"";"";"Thalia Bücher GmbH";"DE02500105170123456789";"INGDDEFFXXX";"-32,90";"EUR";"Bücher"
"DE02120300000000202051";"10.02.2023";"10.02.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202302";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"15.02.2023";"15.02.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230214";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-65,30";"EUR";"Kraftstoff"
"DE02120300000000202051";"20.02.2023";"20.02.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF234567890";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"25.02.2023";"25.02.2023";"UEBERWEISUNG";"Supermarkt Einkauf";"";"";"GROCERY20230224";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-92,15";"EUR";"Lebensmittel"
"DE02120300000000202051";"28.02.2023";"28.02.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220128";"MOB234567";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"01.03.2023";"01.03.2023";"GUTSCHRIFT";"Gehalt Februar";"";"";"SALARY2023-02";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehalt"
